                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1014,                 0.9439,                 1.1357,                0.58944,                0.60951,                0.60171,                0.37804,                 1.2582,                 1.1607,                 1.3121,                0.00059,                0.00059,                0.00059
                     35,                 1.1055,                0.95165,                   1.14,                 0.6436,                0.59995,                0.64441,                0.41487,                 1.2698,                  1.167,                 1.2572,             0.00056938,             0.00056938,             0.00056938
                     36,                 1.0807,                0.94293,                 1.1379,                0.57699,                0.67292,                0.65523,                0.44182,                 1.2375,                 1.2237,                 1.2719,             0.00054875,             0.00054875,             0.00054875
                     37,                  1.062,                0.90715,                 1.1337,                0.70909,                0.63022,                0.67998,                 0.4677,                 1.2412,                 1.1713,                 1.2937,             0.00052812,             0.00052812,             0.00052812
                     38,                 1.0707,                0.86271,                 1.1213,                0.73007,                0.59627,                0.66151,                0.44134,                 1.2311,                 1.1328,                 1.2829,              0.0005075,              0.0005075,              0.0005075
                     39,                 1.0705,                0.89981,                 1.1144,                0.53735,                0.65046,                0.60561,                0.39822,                 1.2533,                 1.2218,                 1.2769,             0.00048687,             0.00048687,             0.00048687
                     40,                  1.067,                0.88032,                 1.1125,                0.69221,                0.61241,                0.65499,                0.43563,                  1.216,                 1.1872,                   1.26,             0.00046625,             0.00046625,             0.00046625
                     41,                 1.0607,                0.90564,                 1.1135,                0.64326,                0.61229,                0.65189,                 0.4227,                  1.288,                 1.2019,                  1.304,             0.00044563,             0.00044563,             0.00044563
                     42,                 1.0432,                0.85696,                 1.1131,                0.66136,                0.63021,                 0.6532,                0.42295,                 1.2558,                 1.1681,                 1.2764,               0.000425,               0.000425,               0.000425
                     43,                 1.0412,                0.82993,                 1.1112,                0.68695,                0.64493,                0.67885,                0.45577,                 1.2525,                 1.1886,                 1.2904,             0.00040438,             0.00040438,             0.00040438
                     44,                 1.0039,                0.80338,                  1.093,                0.66296,                0.63964,                0.68068,                0.45399,                 1.2814,                 1.1309,                 1.3191,             0.00038375,             0.00038375,             0.00038375
                     45,                 1.0087,                0.82651,                 1.0999,                0.68383,                 0.6433,                0.67793,                 0.4535,                 1.2688,                 1.2047,                 1.3019,             0.00036313,             0.00036313,             0.00036313
                     46,                 1.0039,                0.81168,                  1.097,                0.70214,                0.65968,                0.68444,                 0.4634,                  1.256,                  1.177,                 1.3097,              0.0003425,              0.0003425,              0.0003425
                     47,                0.99507,                0.76075,                 1.0848,                0.73685,                 0.6667,                 0.7003,                0.47305,                 1.2549,                 1.1884,                 1.3007,             0.00032188,             0.00032188,             0.00032188
                     48,                0.97491,                0.75616,                 1.0867,                0.69507,                0.63536,                0.67702,                0.46113,                 1.2455,                 1.1862,                 1.3003,             0.00030125,             0.00030125,             0.00030125
                     49,                 0.9903,                0.78226,                 1.0756,                0.68279,                0.61973,                0.67372,                0.46053,                 1.2514,                 1.1776,                 1.2831,             0.00028063,             0.00028063,             0.00028063
                     50,                0.96154,                0.73976,                 1.0601,                0.69327,                0.66271,                0.69217,                0.47008,                 1.2878,                 1.1568,                  1.299,                0.00026,                0.00026,                0.00026
                     51,                0.95684,                0.72669,                 1.0649,                0.67463,                0.67973,                0.68578,                0.45974,                 1.3105,                 1.1565,                 1.3147,             0.00023938,             0.00023938,             0.00023938
                     52,                0.94126,                0.68858,                 1.0605,                0.67102,                0.68085,                0.68021,                0.46377,                 1.2375,                 1.1276,                 1.2931,             0.00021875,             0.00021875,             0.00021875
                     53,                  0.887,                0.64486,                 1.0401,                0.69305,                0.66945,                0.70303,                0.47958,                 1.2416,                 1.1364,                 1.2936,             0.00019813,             0.00019813,             0.00019813
                     54,                 0.9132,                0.64876,                 1.0393,                0.67865,                0.68766,                0.69561,                 0.4704,                 1.3016,                  1.193,                  1.321,              0.0001775,              0.0001775,              0.0001775
                     55,                0.91206,                0.63703,                 1.0428,                0.70129,                0.67242,                0.70603,                0.48266,                 1.2625,                 1.1113,                 1.3091,             0.00015688,             0.00015688,             0.00015688
                     56,                0.89292,                0.62609,                 1.0414,                0.70697,                0.65972,                 0.7036,                 0.4857,                 1.2617,                 1.0913,                 1.3059,             0.00013625,             0.00013625,             0.00013625
                     57,                0.85675,                0.59964,                 1.0255,                0.68758,                0.66435,                0.69807,                0.48644,                 1.2412,                  1.078,                 1.3065,             0.00011563,             0.00011563,             0.00011563
                     58,                0.83224,                0.58236,                 1.0088,                0.76519,                0.61722,                0.70309,                0.49106,                 1.2433,                 1.0864,                 1.3012,                9.5e-05,                9.5e-05,                9.5e-05
                     59,                0.84671,                0.61195,                 1.0216,                0.72062,                0.64523,                0.70646,                0.49136,                 1.2591,                 1.0899,                 1.3072,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     60,                0.84751,                0.57393,                 1.0128,                0.75891,                0.62733,                0.70839,                0.48743,                 1.2593,                 1.0921,                 1.3071,              5.375e-05,              5.375e-05,              5.375e-05
